time [s],expiration [NA](/api/datatype/35/)
2456.3671875,22889
2458.65625,22887
2460.453125,22882
2464.171875,22883
2466.90625,22883
2468.7109375,22887
2470.671875,22874
2475.1015625,22873
2477.8203125,22879
2480.765625,22882
2485.234375,22806
2488.5625,22789
2491.8984375,22812
2494.484375,22812
2496.609375,22808
2497.9921875,22798
2500.25,22798
2502.4140625,22801
2504.953125,22797
2507.578125,22800
2510.0859375,22795
2512.3046875,22821
2514.90625,22826
2517.1796875,22861
2519.3671875,22875
2521.625,22881
2523.8984375,22882
2526.484375,22888
2529.3046875,22876
2531.7421875,22869
2535.2734375,22857
2537.6171875,22847
2540.3359375,22856
2542.1875,22809
2545.4765625,22845
2547.53125,22887
2549.8515625,22875
2551.7109375,22878
2554.3359375,22872
2556.9765625,22809
2559.5078125,22792
2562.359375,22781
2564.875,22777
2567.8984375,22769
2570.546875,22788
2573.15625,22783
2574.9375,22789
2579.484375,22819
2581.765625,22804
2584.578125,22788
2587.15625,22785
2589.8125,22800
2592.2890625,22800
2594.75,22798
2597.0859375,22804
2599.328125,22805
2601.28125,22789
2605.21875,22776
2607.7890625,22779
2610.359375,22779
2612.5078125,22782
2615.0859375,22787
2617.6484375,22787
2620.3984375,22781
2623.0703125,22770
2625.21875,22787
2627.34375,22788
2629.7265625,22790
2631.875,22785
2634.1640625,22798
2636.9453125,22796
2640.3515625,22786
2642.90625,22791
2645.390625,22786
2647.6875,22811
2649.8984375,22829
2656.0234375,22785
2658.2109375,22782
2660.7109375,22684
